pathway	AH12	AH13	AH19	AH20	IA1	IA3	IA5	IA6	IA7	IA8	IA9	IA10	IA15	IA16	IA17	IA18	IA19	IA20	IA21
ko04971	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04972	18	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04973	32	60	51	117	34	53	114	687	589	92	34	84	70	45	62	84	64	31	57
ko04974	74	69	48	172	24	21	76	692	596	57	17	82	64	29	69	64	31	22	46
ko04976	14	51	33	94	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04978	143	54	47	166	17	11	72	675	580	51	11	54	47	18	52	41	20	16	37
ko04979	117	0	9	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05010	1199	63	144	802	25	17	81	660	568	78	20	104	90	29	90	109	56	46	65
ko05012	692	1	54	395	0	0	0	0	0	12	4	20	20	0	20	36	20	16	16
ko05014	970	3	74	508	0	1	0	2	2	11	4	25	24	2	22	37	20	18	19
ko05016	1043	5	88	569	5	5	7	8	7	25	10	43	42	8	39	64	37	29	35
ko05020	45	0	2	26	0	0	0	1	1	3	1	5	6	1	5	9	5	6	6
ko05030	348	1	28	193	2	4	3	0	0	3	2	2	1	2	0	4	5	1	1
ko05031	348	1	28	193	2	4	3	0	0	3	2	2	1	2	0	4	5	1	1
ko05034	348	1	28	193	2	4	3	0	0	3	2	2	1	2	0	4	5	1	1
ko05100	5	12	4	23	5	4	7	13	13	3	2	6	3	6	5	7	3	2	1
ko05110	141	7	13	67	2	1	11	144	123	7	1	9	8	2	8	7	3	3	6
ko05111	9650	908	1377	7225	256	195	1155	10238	8831	887	187	1183	951	404	963	932	387	431	711
ko05120	435	45	105	464	28	25	77	40	43	77	17	83	61	45	51	66	36	26	44
ko05132	1316	12	132	704	8	8	24	8	9	36	10	78	73	23	49	81	35	59	68
ko05133	4533	42	405	2200	28	19	46	30	31	52	16	157	117	45	77	92	25	38	57
ko05134	1010	169	226	1031	72	66	222	1470	1269	197	56	256	213	92	202	253	137	101	157
ko05142	167	0	9	84	2	4	3	1	1	3	2	2	1	2	0	4	5	1	1
ko05143	260	2	25	130	6	8	8	1	1	10	6	8	7	6	5	9	11	1	6
ko05145	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05146	26	9	9	26	3	2	21	113	97	16	2	20	17	9	12	11	2	11	15
ko05150	789	244	210	1050	79	28	255	2765	2379	182	35	249	200	67	220	181	71	77	121
ko05152	1142	190	234	1052	72	53	247	1984	1708	196	49	249	206	88	199	207	100	86	143
ko05161	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05163	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05164	296	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05165	273	65	69	290	25	17	91	660	568	68	15	73	60	33	60	54	26	27	47
ko05166	117	0	9	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05167	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05168	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05200	2446	94	291	1451	33	20	129	986	845	104	22	157	134	36	108	150	65	58	93
ko05203	273	65	69	290	25	17	91	660	568	68	15	73	60	33	60	54	26	27	47
ko05204	1663	7	116	944	5	0	3	4	3	4	1	8	8	3	3	4	1	2	1
ko05205	161	64	56	244	21	13	82	731	629	61	12	78	64	25	64	64	27	28	43
ko05206	288	96	105	438	70	23	138	967	833	136	35	223	202	73	142	158	66	63	82
ko05210	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05211	271	57	98	250	16	11	79	646	554	58	11	93	77	19	61	94	38	34	55
ko05215	168	5	27	76	6	6	18	1	1	20	5	26	23	11	16	23	12	10	18
ko05219	6	13	13	84	10	1	11	14	14	11	2	19	14	8	11	10	3	5	3
ko05222	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05225	1717	31	145	964	11	3	32	339	290	23	5	33	29	6	26	24	10	10	16
ko05230	978	396	345	1559	147	82	493	4376	3764	367	80	469	385	158	380	338	147	162	260
ko05231	164	9	22	135	2	2	17	9	10	14	1	13	7	8	6	8	1	4	5
ko05322	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05323	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
ko05340	183	119	92	418	35	28	151	1525	1310	108	26	135	112	42	118	113	53	42	80
ko05410	21	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05416	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko05418	2684	172	377	1786	88	63	250	1461	1260	222	57	302	249	104	220	239	115	99	172
